iter	Passed	Remaining
0	1	1529
1	3	1536
2	4	1496
3	5	1468
4	7	1444
5	8	1461
6	10	1455
7	11	1447
8	13	1457
9	14	1452
10	16	1464
11	17	1469
12	19	1464
13	20	1459
14	22	1463
15	23	1459
16	25	1462
17	26	1463
18	28	1456
19	29	1458
20	31	1459
21	32	1464
22	34	1449
23	35	1449
24	37	1449
25	38	1442
26	40	1443
27	41	1439
28	42	1439
29	44	1444
30	46	1444
31	47	1446
32	49	1444
33	50	1447
34	52	1446
35	54	1452
36	55	1456
37	57	1458
38	59	1459
39	60	1455
40	62	1453
41	63	1453
42	65	1451
43	66	1450
44	68	1449
45	69	1448
46	71	1448
47	73	1450
48	74	1453
49	76	1450
50	77	1447
51	79	1447
52	80	1444
53	82	1444
54	84	1443
55	85	1443
56	87	1440
57	88	1441
58	90	1440
59	91	1437
60	93	1435
61	94	1435
62	96	1434
63	97	1433
64	99	1431
65	101	1430
66	102	1428
67	104	1429
68	105	1428
69	107	1426
70	108	1423
71	110	1422
72	112	1423
73	113	1422
74	115	1421
75	116	1420
76	118	1420
77	120	1418
78	121	1418
79	123	1417
80	124	1417
81	126	1415
82	127	1414
83	129	1413
84	131	1412
85	132	1408
86	134	1408
87	136	1409
88	137	1407
89	139	1406
90	140	1407
91	142	1405
92	144	1404
93	145	1403
94	147	1403
95	148	1402
96	150	1401
97	152	1400
98	153	1400
99	155	1398
100	156	1396
101	158	1396
102	160	1395
103	162	1396
104	163	1394
105	165	1392
106	166	1391
107	168	1391
108	170	1389
109	171	1389
110	173	1389
111	175	1389
112	176	1388
113	178	1387
114	180	1386
115	181	1385
116	183	1384
117	184	1382
118	186	1380
119	188	1379
120	189	1377
121	191	1376
122	194	1386
123	196	1390
124	198	1388
125	199	1386
126	201	1381
127	202	1381
128	204	1383
129	206	1383
130	208	1382
131	209	1379
132	212	1385
133	214	1383
134	215	1381
135	217	1380
136	218	1378
137	220	1376
138	223	1385
139	225	1383
140	226	1382
141	228	1381
142	230	1378
143	231	1377
144	233	1376
145	235	1374
146	236	1373
147	239	1376
148	240	1374
149	242	1373
150	243	1370
151	245	1369
152	247	1368
153	248	1367
154	250	1365
155	252	1364
156	253	1363
157	255	1361
158	257	1360
159	258	1358
160	260	1356
161	261	1354
162	263	1353
163	265	1351
164	266	1349
165	268	1347
166	269	1345
167	271	1344
168	273	1342
169	274	1340
170	276	1338
171	277	1338
172	279	1336
173	281	1334
174	282	1332
175	284	1330
176	285	1329
177	287	1328
178	289	1327
179	290	1324
180	292	1322
181	293	1320
182	295	1318
183	296	1316
184	298	1314
185	299	1311
186	301	1309
187	302	1308
188	304	1306
189	306	1305
190	307	1304
191	309	1302
192	311	1301
193	312	1299
194	314	1298
195	316	1296
196	317	1295
197	319	1295
198	321	1294
199	323	1293
200	324	1291
201	326	1288
202	327	1286
203	329	1284
204	331	1283
205	332	1282
206	334	1281
207	336	1279
208	337	1278
209	339	1276
210	340	1274
211	342	1271
212	343	1269
213	345	1267
214	346	1266
215	348	1264
216	350	1262
