,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(11,)",[0.69675325 0.69594287 0.69701595 0.70052472],0.6975591965582384,"('online_security_No',)",0.0028168146151518517,0.001757234825140907,0.0010145399993244876
2,"(6, 11)",[0.74292777 0.73441805 0.75776926 0.75892592],0.7485102526656835,"('payment_method_Electronic check', 'online_security_No')",0.016503111098045475,0.010295260962032302,0.005943971687806795
3,"(6, 11, 20)",[0.77042379 0.76145116 0.78185842 0.77681655],0.772637480068354,"('payment_method_Electronic check', 'online_security_No', 'tech_support_No')",0.012221733330676433,0.007624376597851549,0.004401935881172675
4,"(6, 8, 11, 20)",[0.77732057 0.77195431 0.7938471  0.79172998],0.7837129910903096,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'tech_support_No')",0.014910779427817454,0.009301904619357752,0.005370457135962421
5,"(6, 8, 11, 20, 33)",[0.78150376 0.77956796 0.80430954 0.79468209],0.7900158370021829,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'tech_support_No', 'partner_No')",0.0161833127952963,0.010095758761358898,0.005828789038544082
6,"(6, 8, 11, 20, 22, 33)",[0.7833265  0.77866314 0.80575822 0.79859467],0.7915856318185044,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'tech_support_No', 'tech_support_nan', 'partner_No')",0.017654508058876993,0.011013545660731037,0.0063586735519553
7,"(6, 8, 11, 19, 20, 22, 33)",[0.78368649 0.77932243 0.80574909 0.79799238],0.7916875988406,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'device_protection_nan', 'tech_support_No', 'tech_support_nan', 'partner_No')",0.017084934407517613,0.010658224209944896,0.006153528616695072
8,"(6, 8, 11, 13, 19, 20, 22, 33)",[0.78401914 0.77792656 0.80574909 0.79920151],0.7917240766328782,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'online_security_nan', 'device_protection_nan', 'tech_support_No', 'tech_support_nan', 'partner_No')",0.01796395580942775,0.011206590797924063,0.0064701282138794405
9,"(6, 8, 11, 13, 19, 20, 22, 28, 33)",[0.78271588 0.77988624 0.80610499 0.79910113],0.7919520606124877,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'online_security_nan', 'device_protection_nan', 'tech_support_No', 'tech_support_nan', 'streaming_movies_nan', 'partner_No')",0.01760190512592373,0.010980729974106578,0.006339727406449025
10,"(6, 8, 11, 12, 13, 19, 20, 22, 28, 33)",[0.78368649 0.78019542 0.8056259  0.79930646],0.7922035670281855,"('payment_method_Electronic check', 'internet_service_DSL', 'online_security_No', 'online_security_Yes', 'online_security_nan', 'device_protection_nan', 'tech_support_No', 'tech_support_nan', 'streaming_movies_nan', 'partner_No')",0.016951976705609734,0.010575280198362992,0.006105640869280593
